<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090825;000000;2369.8600000;2438.2000000;2356.3100000;2390.5000000;61158787568
RI.MICEX10INDEX;D;20090826;000000;2386.9900000;2409.5200000;2325.7800000;2360.2700000;59591799789
RI.MICEX10INDEX;D;20090827;000000;2342.8200000;2375.1500000;2310.3500000;2324.3900000;47624518103
RI.MICEX10INDEX;D;20090828;000000;2331.4100000;2396.2900000;2331.4100000;2374.0300000;46029644433
RI.MICEX10INDEX;D;20090831;000000;2352.6100000;2355.2200000;2318.8000000;2334.7900000;30282566386
RI.MICEX10INDEX;D;20090901;000000;2342.3900000;2371.7600000;2316.3600000;2359.8000000;48642081093
RI.MICEX10INDEX;D;20090902;000000;2316.7600000;2329.1700000;2284.4900000;2300.5700000;47636657144
RI.MICEX10INDEX;D;20090903;000000;2309.3000000;2346.9400000;2309.3000000;2334.3100000;50931925621
RI.MICEX10INDEX;D;20090904;000000;2344.3500000;2380.4600000;2292.3300000;2310.4200000;79996283214
RI.MICEX10INDEX;D;20090907;000000;2334.7600000;2386.3700000;2327.4100000;2384.8100000;44476630171
RI.MICEX10INDEX;D;20090908;000000;2396.1500000;2490.5000000;2393.4300000;2484.1700000;78383590292
RI.MICEX10INDEX;D;20090909;000000;2483.0400000;2522.3100000;2462.1200000;2504.1600000;76246784353
RI.MICEX10INDEX;D;20090910;000000;2531.7600000;2544.3800000;2458.1700000;2481.4600000;67802284428
RI.MICEX10INDEX;D;20090911;000000;2498.7800000;2549.6900000;2472.2000000;2529.8800000;62173087897
RI.MICEX10INDEX;D;20090914;000000;2494.4300000;2537.0200000;2466.2900000;2532.3500000;42532143661
RI.MICEX10INDEX;D;20090915;000000;2543.4300000;2625.0200000;2543.4300000;2608.4700000;67447359387
RI.MICEX10INDEX;D;20090916;000000;2633.6700000;2706.2500000;2631.4200000;2661.6500000;86361068675
RI.MICEX10INDEX;D;20090917;000000;2702.5700000;2726.1500000;2603.6600000;2620.3000000;82233647450
RI.MICEX10INDEX;D;20090918;000000;2602.2400000;2658.5500000;2570.8600000;2638.0500000;64700601141
RI.MICEX10INDEX;D;20090921;000000;2638.9300000;2644.9000000;2530.7300000;2534.2700000;52116020503
RI.MICEX10INDEX;D;20090922;000000;2561.5900000;2635.9900000;2561.5900000;2618.3600000;58746402635
RI.MICEX10INDEX;D;20090923;000000;2622.7600000;2679.4200000;2600.9100000;2609.8600000;72184761934
RI.MICEX10INDEX;D;20090924;000000;2594.5300000;2659.5300000;2549.4600000;2550.6800000;85410479661
RI.MICEX10INDEX;D;20090925;000000;2556.9000000;2601.9900000;2526.2200000;2570.2600000;62793390458
RI.MICEX10INDEX;D;20090928;000000;2550.2100000;2630.5100000;2526.4900000;2628.0500000;49738159413
RI.MICEX10INDEX;D;20090929;000000;2643.3100000;2654.4700000;2602.8700000;2634.4000000;57036103493
RI.MICEX10INDEX;D;20090930;000000;2638.9400000;2665.5700000;2590.7000000;2601.4000000;55256235118
RI.MICEX10INDEX;D;20091001;000000;2612.1600000;2658.2800000;2612.1600000;2625.2000000;47323604769
RI.MICEX10INDEX;D;20091002;000000;2590.8800000;2594.6000000;2480.3300000;2552.1400000;59619810497
RI.MICEX10INDEX;D;20091005;000000;2564.3600000;2571.0800000;2524.6700000;2548.6700000;39742933764
RI.MICEX10INDEX;D;20091006;000000;2568.6900000;2641.7600000;2568.6900000;2641.6200000;49357159447
RI.MICEX10INDEX;D;20091007;000000;2648.8200000;2703.6100000;2644.4200000;2653.4300000;74388777336
RI.MICEX10INDEX;D;20091008;000000;2678.8200000;2775.2000000;2678.8100000;2774.0200000;78230218457
RI.MICEX10INDEX;D;20091009;000000;2780.6600000;2877.6800000;2744.6200000;2852.2800000;85690523132
RI.MICEX10INDEX;D;20091012;000000;2861.0200000;2962.2700000;2861.0200000;2961.5800000;88539891688
RI.MICEX10INDEX;D;20091013;000000;2957.3400000;2982.4100000;2852.7800000;2878.2100000;93487773128
RI.MICEX10INDEX;D;20091014;000000;2916.2600000;2997.6500000;2916.2600000;2963.3300000;89032059806
RI.MICEX10INDEX;D;20091015;000000;2986.4700000;3005.1300000;2887.0300000;2897.2000000;83062122460
RI.MICEX10INDEX;D;20091016;000000;2914.9100000;2949.9400000;2820.0000000;2823.6900000;71114594670
RI.MICEX10INDEX;D;20091019;000000;2851.7900000;2934.1000000;2825.2800000;2934.1000000;67336010169
RI.MICEX10INDEX;D;20091020;000000;2954.9500000;2975.6500000;2896.3900000;2916.8300000;79867179054
RI.MICEX10INDEX;D;20091021;000000;2911.2700000;2941.9500000;2842.8900000;2940.5200000;72707461041
RI.MICEX10INDEX;D;20091022;000000;2902.6600000;2922.7600000;2868.5800000;2903.5400000;63575299158
RI.MICEX10INDEX;D;20091023;000000;2915.0300000;2950.3400000;2898.5900000;2908.3700000;59330973081
RI.MICEX10INDEX;D;20091026;000000;2898.4700000;2946.6600000;2885.8700000;2900.2500000;52122216795
RI.MICEX10INDEX;D;20091027;000000;2877.1400000;2885.2900000;2807.9500000;2860.8900000;69092802098
RI.MICEX10INDEX;D;20091028;000000;2840.9100000;2853.9500000;2686.0400000;2692.9300000;71740049448
RI.MICEX10INDEX;D;20091029;000000;2668.6000000;2801.0700000;2607.9100000;2797.5400000;101016729129
RI.MICEX10INDEX;D;20091030;000000;2801.7700000;2819.5500000;2660.4100000;2670.5000000;68915270138
RI.MICEX10INDEX;D;20091102;000000;2650.3100000;2730.4200000;2623.8900000;2730.4200000;65103917169
RI.MICEX10INDEX;D;20091103;000000;2705.0500000;2705.0500000;2609.6300000;2620.0700000;52014078084
RI.MICEX10INDEX;D;20091105;000000;2641.6400000;2693.8600000;2597.7200000;2693.3600000;61845244434
RI.MICEX10INDEX;D;20091106;000000;2699.0700000;2727.9500000;2641.3600000;2681.0000000;65834953418
RI.MICEX10INDEX;D;20091109;000000;2696.2500000;2845.8800000;2696.2500000;2845.8800000;59941213371
RI.MICEX10INDEX;D;20091110;000000;2845.8600000;2915.6000000;2828.6000000;2897.0900000;82439581821
RI.MICEX10INDEX;D;20091111;000000;2899.5900000;2928.0900000;2869.3000000;2870.5800000;47592097638
RI.MICEX10INDEX;D;20091112;000000;2867.8000000;2874.7100000;2825.3100000;2868.1000000;55215476745
RI.MICEX10INDEX;D;20091113;000000;2849.8800000;2859.9700000;2825.7400000;2859.0400000;34663759567
RI.MICEX10INDEX;D;20091116;000000;2875.6900000;2985.3300000;2875.6900000;2983.9500000;54040129381
RI.MICEX10INDEX;D;20091117;000000;2973.1300000;2981.1400000;2931.0600000;2967.9300000;57670645011
RI.MICEX10INDEX;D;20091118;000000;2978.1700000;3045.7000000;2975.5300000;3000.4000000;68816225001
RI.MICEX10INDEX;D;20091119;000000;2988.4700000;3008.8600000;2917.7100000;2918.9400000;52636092319
RI.MICEX10INDEX;D;20091120;000000;2933.0100000;2960.6000000;2872.4100000;2915.8500000;52704341722
RI.MICEX10INDEX;D;20091123;000000;2958.0400000;2986.6200000;2940.2400000;2969.2800000;58788917285
